,cell,long,lat,order,hole,piece,group,temp,precip,wet_precip,min_temp
1,107812,-78.7499999997772,1.47217019867852,1,FALSE,1,107812.1,257,2031,280,224
2,107812,-79.0110418931791,1.33890549030198,2,FALSE,1,107812.1,257,2031,280,224
3,107812,-79.2720219427179,1.47338570967431,3,FALSE,1,107812.1,257,2031,280,224
4,107812,-79.2721246844934,1.74123457554672,4,FALSE,1,107812.1,257,2031,280,224
5,107812,-79.0111439717606,1.87438577181017,5,FALSE,1,107812.1,257,2031,280,224
6,107812,-78.7499999997838,1.7398008308486,6,FALSE,1,107812.1,257,2031,280,224
7,107812,-78.7499999997772,1.47217019867852,7,FALSE,1,107812.1,257,2031,280,224
8,107892,-79.7932077041948,0.670291387858323,1,FALSE,1,107892.1,247,1489,238,212
9,107892,-80.0536984124608,0.536447454863153,2,FALSE,1,107892.1,247,1489,238,212
10,107892,-80.314185498789,0.670817309949053,3,FALSE,1,107892.1,247,1489,238,212
11,107892,-80.3143437986193,0.939131917191778,4,FALSE,1,107892.1,247,1489,238,212
12,107892,-80.0539604103331,1.07286778820369,5,FALSE,1,107892.1,247,1489,238,212
13,107892,-79.7933117858239,0.938396509459585,6,FALSE,1,107892.1,247,1489,238,212
14,107892,-79.7932077041948,0.670291387858323,7,FALSE,1,107892.1,247,1489,238,212
15,107974,-79.2718165120857,0.669751124132613,1,FALSE,1,107974.1,248,1418,254,206
16,107974,-79.5325354515089,0.536020802083654,2,FALSE,1,107974.1,248,1418,254,206
17,107974,-79.7932077041948,0.670291387858323,3,FALSE,1,107974.1,248,1418,254,206
18,107974,-79.7933117858239,0.938396509459585,4,FALSE,1,107974.1,248,1418,254,206
19,107974,-79.5326905279566,1.07201641664405,5,FALSE,1,107974.1,248,1418,254,206
20,107974,-79.2718678631308,0.937640951153595,6,FALSE,1,107974.1,248,1418,254,206
21,107974,-79.2718165120857,0.669751124132613,7,FALSE,1,107974.1,248,1418,254,206
22,108054,-79.5324966865104,0.268011976455385,1,FALSE,1,108054.1,237,1937,354,193
23,108054,-79.7931036313017,0.134059912877614,2,FALSE,1,108054.1,237,1937,354,193
24,108054,-80.0536329197854,0.268225423714126,3,FALSE,1,108054.1,237,1937,354,193
25,108054,-80.0536984124608,0.536447454863153,4,FALSE,1,108054.1,237,1937,354,193
26,108054,-79.7932077041948,0.670291387858323,5,FALSE,1,108054.1,237,1937,354,193
27,108054,-79.5325354515089,0.536020802083654,6,FALSE,1,108054.1,237,1937,354,193
28,108054,-79.5324966865104,0.268011976455385,7,FALSE,1,108054.1,237,1937,354,193
29,108055,-78.7499999997571,0.669196489261637,1,FALSE,1,108055.1,253,2817,360,206
30,108055,-79.0109526034596,0.535582679088791,2,FALSE,1,108055.1,253,2817,360,206
31,108055,-79.2718165120857,0.669751124132613,3,FALSE,1,108055.1,253,2817,360,206
32,108055,-79.2718678631308,0.937640951153595,4,FALSE,1,108055.1,253,2817,360,206
33,108055,-79.0110036228392,1.07114194756898,5,FALSE,1,108055.1,253,2817,360,206
34,108055,-78.7499999997638,0.936865207856804,6,FALSE,1,108055.1,253,2817,360,206
35,108055,-78.7499999997571,0.669196489261637,7,FALSE,1,108055.1,253,2817,360,206
36,108135,-79.7931036312946,-0.134059907834281,1,FALSE,1,108135.1,249,1004,208,205
37,108135,-80.053632919771,-0.268225418709698,2,FALSE,1,108135.1,249,1004,208,205
38,108135,-80.31402721192,-0.134165218481544,3,FALSE,1,108135.1,249,1004,208,205
39,108135,-80.3140272119273,0.134165223447035,4,FALSE,1,108135.1,249,1004,208,205
40,108135,-80.0536329197854,0.268225423714126,5,FALSE,1,108135.1,249,1004,208,205
41,108135,-79.7931036313017,0.134059912877614,6,FALSE,1,108135.1,249,1004,208,205
42,108135,-79.7931036312946,-0.134059907834281,7,FALSE,1,108135.1,249,1004,208,205
43,108136,-79.0109398499941,0.26779280390817,1,FALSE,1,108136.1,248,2675,472,199
44,108136,-79.2717651654427,0.133951744308808,2,FALSE,1,108136.1,248,2675,472,199
45,108136,-79.5324966865104,0.268011976455385,3,FALSE,1,108136.1,248,2675,472,199
46,108136,-79.5325354515089,0.536020802083654,4,FALSE,1,108136.1,248,2675,472,199
47,108136,-79.2718165120857,0.669751124132613,5,FALSE,1,108136.1,248,2675,472,199
48,108136,-79.0109526034596,0.535582679088791,6,FALSE,1,108136.1,248,2675,472,199
49,108136,-79.0109398499941,0.26779280390817,7,FALSE,1,108136.1,248,2675,472,199
50,108216,-80.053698412432,-0.536447449858747,1,FALSE,1,108216.1,236,732,177,186
51,108216,-80.3141854987526,-0.670817304983612,2,FALSE,1,108216.1,236,732,177,186
52,108216,-80.5744533313703,-0.536862657001864,3,FALSE,1,108216.1,236,732,177,186
53,108216,-80.5743603379598,-0.268433154059735,4,FALSE,1,108216.1,236,732,177,186
54,108216,-80.31402721192,-0.134165218481544,5,FALSE,1,108216.1,236,732,177,186
55,108216,-80.053632919771,-0.268225418709698,6,FALSE,1,108216.1,236,732,177,186
56,108216,-80.053698412432,-0.536447449858747,7,FALSE,1,108216.1,236,732,177,186
57,108217,-79.2717651654357,-0.133951739187808,1,FALSE,1,108217.1,248,2111,441,199
58,108217,-79.5324966864964,-0.2680119713732,2,FALSE,1,108217.1,248,2111,441,199
59,108217,-79.7931036312946,-0.134059907834281,3,FALSE,1,108217.1,248,2111,441,199
60,108217,-79.7931036313017,0.134059912877614,4,FALSE,1,108217.1,248,2111,441,199
61,108217,-79.5324966865104,0.268011976455385,5,FALSE,1,108217.1,248,2111,441,199
62,108217,-79.2717651654427,0.133951744308808,6,FALSE,1,108217.1,248,2111,441,199
63,108217,-79.2717651654357,-0.133951739187808,7,FALSE,1,108217.1,248,2111,441,199
64,108297,-79.5325354514808,-0.536020797001486,1,FALSE,1,108297.1,243,2023,404,187
65,108297,-79.7932077041593,-0.670291382815029,2,FALSE,1,108297.1,243,2023,404,187
66,108297,-80.053698412432,-0.536447449858747,3,FALSE,1,108297.1,243,2023,404,187
67,108297,-80.053632919771,-0.268225418709698,4,FALSE,1,108297.1,243,2023,404,187
68,108297,-79.7931036312946,-0.134059907834281,5,FALSE,1,108297.1,243,2023,404,187
69,108297,-79.5324966864964,-0.2680119713732,6,FALSE,1,108297.1,243,2023,404,187
70,108297,-79.5325354514808,-0.536020797001486,7,FALSE,1,108297.1,243,2023,404,187
71,108298,-78.7499999997369,-0.133840705654522,1,FALSE,1,108298.1,230,3633,625,180
72,108298,-79.0109398499803,-0.267792798748408,2,FALSE,1,108298.1,230,3633,625,180
73,108298,-79.2717651654357,-0.133951739187808,3,FALSE,1,108298.1,230,3633,625,180
74,108298,-79.2717651654427,0.133951744308808,4,FALSE,1,108298.1,230,3633,625,180
75,108298,-79.0109398499941,0.26779280390817,5,FALSE,1,108298.1,230,3633,625,180
76,108298,-78.7499999997437,0.133840710853008,6,FALSE,1,108298.1,230,3633,625,180
77,108298,-78.7499999997369,-0.133840705654522,7,FALSE,1,108298.1,230,3633,625,180
78,108377,-80.5751043905912,-1.34209271443899,1,FALSE,1,108377.1,246,220,50,195
79,108377,-80.8356183546203,-1.47684014953111,2,FALSE,1,108377.1,246,220,50,195
80,108377,-81.0956614290722,-1.34309714300706,3,FALSE,1,108377.1,246,220,50,195
81,108377,-81.0952973517168,-1.07450135788784,4,FALSE,1,108377.1,246,220,50,195
82,108377,-80.8349758753442,-0.939847200493543,5,FALSE,1,108377.1,246,220,50,195
83,108377,-80.5748253426392,-1.07369608950716,6,FALSE,1,108377.1,246,220,50,195
84,108377,-80.5751043905912,-1.34209271443899,7,FALSE,1,108377.1,246,220,50,195
85,108378,-79.7933117857741,-0.93839650441633,1,FALSE,1,108378.1,253,1123,275,194
86,108378,-80.0539604102756,-1.07286778319937,2,FALSE,1,108378.1,253,1123,275,194
87,108378,-80.3143437985683,-0.939131912226387,3,FALSE,1,108378.1,253,1123,275,194
88,108378,-80.3141854987526,-0.670817304983612,4,FALSE,1,108378.1,253,1123,275,194
89,108378,-80.053698412432,-0.536447449858747,5,FALSE,1,108378.1,253,1123,275,194
90,108378,-79.7932077041593,-0.670291382815029,6,FALSE,1,108378.1,253,1123,275,194
91,108378,-79.7933117857741,-0.93839650441633,7,FALSE,1,108378.1,253,1123,275,194
92,108379,-79.0109526034322,-0.53558267392904,1,FALSE,1,108379.1,232,2723,507,178
93,108379,-79.271816512051,-0.669751119011643,2,FALSE,1,108379.1,232,2723,507,178
94,108379,-79.5325354514808,-0.536020797001486,3,FALSE,1,108379.1,232,2723,507,178
95,108379,-79.5324966864964,-0.2680119713732,4,FALSE,1,108379.1,232,2723,507,178
96,108379,-79.2717651654357,-0.133951739187808,5,FALSE,1,108379.1,232,2723,507,178
97,108379,-79.0109398499803,-0.267792798748408,6,FALSE,1,108379.1,232,2723,507,178
